name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
IC 313    ,UGC 2682     ,03 20 57.9,+41 53 36,.E+..*.   ,0.97,      ,        ,                ,          ,4531,ELLIPTICAL GALAXY
          ,MCG 0-60-59  ,23 54 12.3,+00 22 36,.E?....   ,0.6,      ,        ,12.78,          ,8055,ELLIPTICAL GALAXY
          ,UGC 6777     ,11 48 37.8,+32 38 10,.E?....   ,0.89,      ,15.17,                ,277,6996,ELLIPTICAL GALAXY
NGC 7760  ,UGC 12794    ,23 49 12.0,+30 58 53,.E?....   ,1,      ,14.45,                ,          ,5434,ELLIPTICAL GALAXY
          ,UGC 797      ,01 14 54.0,+00 25 00,.E...*.   ,0.95,      ,14.95,                ,          ,13507,ELLIPTICAL GALAXY
          ,CGCG 11-49   ,11 18 30.0,+00 25 00,CE.....   ,       ,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
IC 5180   ,UGC 11938    ,22 11 12.2,+38 55 38,.E...*.   ,1,      ,14.3,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 5893     ,10 47 39.8,+38 56 00,.E...?.   ,1.09,0.7,        ,14.56,          ,10612,ELLIPTICAL GALAXY
NGC 911   ,UGC 1878     ,02 25 42.4,+41 57 22,.E.....   ,1.23,      ,13.73,                ,          ,5734,ELLIPTICAL GALAXY
IC 2637   ,UGC 6259     ,11 13 49.6,+09 35 13,.E+..P.   ,0.92,      ,14.04,                ,          ,8670,ELLIPTICAL GALAXY
NGC 6198  ,UGC 10467    ,16 35 24.0,+57 30 00,.E.....   ,0.98,      ,14.63,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 2022     ,02 33 17.2,+32 44 48,.E...*.   ,0.61,      ,15.24,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 9518     ,14 46 22.1,+32 46 54,.E.....   ,1,      ,14.31,                ,          ,8806,ELLIPTICAL GALAXY
NGC 6575  ,UGC 11138    ,18 10 57.4,+31 07 03,.E.....   ,1.26,      ,13.69,                ,          ,7170,ELLIPTICAL GALAXY
NGC 7512  ,UGC 12414    ,23 12 20.6,+31 07 38,.E.....   ,1.26,      ,13.64,                ,          ,7036,ELLIPTICAL GALAXY
NGC 909   ,UGC 1872     ,02 25 22.9,+42 02 08,.E.....   ,0.95,      ,14.28,                ,          ,5029,ELLIPTICAL GALAXY
          ,UGC 6805     ,11 50 11.8,+42 04 31,.E?....   ,0.6,      ,14.6,                ,          ,1065,ELLIPTICAL GALAXY
NGC 548   ,UGC 1010     ,01 26 02.7,-01 13 36,.E+..*.   ,0.95,0.73,14.69,14.15,          ,5388,ELLIPTICAL GALAXY
          ,MCG 2-32-132 ,12 33 14.1,+12 51 30,.E?....   ,0.68,      ,        ,13.29,          ,                   ,ELLIPTICAL GALAXY
NGC 4261  ,UGC 7360     ,12 19 22.8,+05 49 36,.E.2+..   ,1.61,1.08,11.37,14.3,          ,2130,ELLIPTICAL GALAXY
NGC 631   ,UGC 1153     ,01 36 47.1,+05 50 07,.E.....   ,1.23,      ,14.25,                ,          ,5704,ELLIPTICAL GALAXY
          ,ESO 460-4    ,19 28 17.1,-29 31 44,.E+4...   ,1.22,      ,13.83,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,13 29 52.1,-29 30 47,.E?....   ,       ,      ,        ,                ,          ,13599,ELLIPTICAL GALAXY
          ,UGC 7115     ,12 08 05.9,+25 14 17,.E.....   ,0.94,0.56,14.33,14,          ,6768,ELLIPTICAL GALAXY
NGC 4374  ,UGC 7494     ,12 25 03.7,+12 53 15,.E.1...   ,1.81,1.23,10.29,13.98,286,902,ELLIPTICAL GALAXY
          ,             ,12 23 58.7,+12 53 23,.E?....   ,0.47,      ,        ,13.56,          ,                   ,ELLIPTICAL GALAXY
          ,             ,12 28 06.2,+12 53 49,.E?....   ,0.8,      ,        ,14.22,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1043     ,01 27 36.0,-01 07 00,.E...*.   ,0.94,      ,14.69,                ,          ,5229,ELLIPTICAL GALAXY
NGC 4987  ,UGC 8216     ,13 07 54.0,+51 56 00,.E.....   ,1.08,      ,14.36,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4406  ,UGC 7532     ,12 26 11.8,+12 56 49,.E.3...   ,1.95,1.54,9.94,14.11,          ,-302,ELLIPTICAL GALAXY
NGC 5413  ,UGC 8901     ,13 57 54.5,+64 54 41,.E.....   ,1.06,      ,14.2,                ,          ,9773,ELLIPTICAL GALAXY
IC 2179   ,UGC 3750     ,07 15 32.7,+64 55 32,.E.1+..   ,1.05,0.77,13.42,13.64,          ,4432,ELLIPTICAL GALAXY
          ,MCG 11-11-26 ,08 44 00.0,+64 57 00,.E?....   ,0.78,      ,15.24,                ,          ,7038,ELLIPTICAL GALAXY
          ,UGC 1525     ,02 02 12.0,-01 06 00,.E.....   ,1.06,      ,15.05,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,12 29 15.1,+12 58 44,.E?....   ,0.65,      ,        ,13.73,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 610      ,00 58 48.0,+12 59 00,.E.....   ,1.26,0.96,14.07,15.11,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3894     ,07 33 04.6,+65 04 40,.E.....   ,1.06,      ,14.24,                ,          ,6850,ELLIPTICAL GALAXY
NGC 4121  ,MCG 11-15-26 ,12 07 55.8,+65 07 01,.E.....   ,0.98,      ,14.43,14.18,          ,2309,ELLIPTICAL GALAXY
NGC 4125  ,UGC 7118     ,12 08 07.2,+65 10 22,.E.6.P.   ,1.76,1.29,10.8,13.8,          ,1468,ELLIPTICAL GALAXY
NGC 7785  ,UGC 12841    ,23 55 19.1,+05 54 53,.E.5+..   ,1.39,0.89,12.66,13.9,          ,3976,ELLIPTICAL GALAXY
NGC 3904  ,ESO 440-13   ,11 49 13.3,-29 16 35,.E.2+*.   ,1.43,0.91,11.87,13.63,547,1363,ELLIPTICAL GALAXY
          ,ESO 424-1    ,05 35 34.8,-29 09 09,.E+4.P*   ,1.03,      ,15.2,                ,          ,17660,ELLIPTICAL GALAXY
IC 5315   ,UGC 12541    ,23 21 18.2,+25 23 00,.E?....   ,0.85,      ,14.52,                ,183,4621,ELLIPTICAL GALAXY
NGC 677   ,UGC 1275     ,01 49 14.6,+13 03 18,.E.....   ,1.3,1.13,13.6,14.69,          ,5182,ELLIPTICAL GALAXY
NGC 3392  ,MCG 11-13-42 ,10 50 54.0,+65 46 00,.E?....   ,0.9,      ,14.71,                ,          ,3376,ELLIPTICAL GALAXY
A 0255+05 ,MCG 1-8-27   ,02 57 36.0,+06 02 00,.E.0.*.   ,0.97,0.94,        ,12.82,          ,6958,ELLIPTICAL GALAXY
          ,UGC 5515     ,10 13 38.4,-00 55 34,.E+..P*   ,1.18,1.33,13.68,                ,          ,13288,ELLIPTICAL GALAXY
          ,UGC 570      ,00 55 54.0,-00 53 00,.E...*.   ,1.04,      ,        ,                ,          ,13345,ELLIPTICAL GALAXY
NGC 2426  ,UGC 3977     ,07 43 18.7,+52 19 05,.E.....   ,1.04,      ,14.13,                ,          ,5904,ELLIPTICAL GALAXY
NGC 6732  ,UGC 11381    ,18 56 24.4,+52 22 37,.E...?.   ,1.07,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 9-15-42  ,08 53 48.0,+52 23 00,.E?....   ,       ,      ,15.11,                ,          ,9138,ELLIPTICAL GALAXY
          ,MCG 2-32-32  ,12 24 52.0,+13 06 35,.E?....   ,0.87,      ,        ,15.64,          ,                   ,ELLIPTICAL GALAXY
NGC 4339  ,UGC 7461     ,12 23 34.4,+06 04 55,.E.0...   ,1.38,1.03,12.36,14.12,          ,1204,ELLIPTICAL GALAXY
          ,ESO 435-49   ,10 10 47.8,-28 54 06,.E?....   ,0.98,0.91,14.78,13.99,          ,4007,ELLIPTICAL GALAXY
          ,CGCG 473-5   ,22 10 17.6,+25 28 00,.E?....   ,0.6,      ,15.64,                ,          ,7351,ELLIPTICAL GALAXY
          ,CGCG 12-54   ,11 40 06.7,-00 50 14,.E.....   ,       ,      ,15,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2800  ,UGC 4920     ,09 18 35.9,+52 30 46,.E.....   ,1.15,      ,13.81,                ,          ,7664,ELLIPTICAL GALAXY
NGC 7432  ,UGC 12268    ,22 58 06.0,+13 08 00,.E.....   ,1.19,      ,14.41,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 409-25   ,00 11 21.2,-28 51 19,.E+4...   ,1.15,1.18,14.26,14.32,          ,18482,ELLIPTICAL GALAXY
NGC 3923  ,ESO 440-17   ,11 51 02.1,-28 48 23,.E.4+..   ,1.77,1.22,10.91,14.18,          ,1487,ELLIPTICAL GALAXY
NGC 4649  ,UGC 7898     ,12 43 40.3,+11 32 58,.E.2...   ,1.87,1.36,9.66,13.93,          ,1065,ELLIPTICAL GALAXY
          ,ESO 218-2    ,12 21 09.3,-52 35 08,.E.2.*.   ,1.16,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 5351   ,MCG -1-60-32 ,23 47 18.9,-02 18 48,.E?....   ,       ,      ,        ,                ,          ,6346,ELLIPTICAL GALAXY
NGC 3595  ,UGC 6280     ,11 15 26.0,+47 26 49,.E?....   ,1.2,      ,13.1,                ,          ,2288,ELLIPTICAL GALAXY
          ,ESO 151-26   ,01 10 33.6,-52 33 22,.E.4.*.   ,1.05,      ,14.31,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 8649     ,13 39 18.0,+61 29 00,.E.....   ,0.99,      ,14.95,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4551  ,UGC 7759     ,12 35 38.2,+12 15 56,.E...*.   ,1.26,0.64,12.81,14,          ,1368,ELLIPTICAL GALAXY
          ,ESO 444-46   ,13 27 56.8,-31 29 44,.E+4...   ,1.24,      ,13.85,                ,          ,13858,ELLIPTICAL GALAXY
NGC 7385  ,UGC 12207    ,22 49 54.7,+11 36 32,.E...P*   ,1.18,1.1,13.86,13.81,          ,7978,ELLIPTICAL GALAXY
NGC 990   ,UGC 2089     ,02 36 18.4,+11 38 29,.E.....   ,1.26,0.76,13.4,14.58,          ,3555,ELLIPTICAL GALAXY
NGC 4621  ,UGC 7858     ,12 42 02.5,+11 38 49,.E.5...   ,1.73,1.13,10.66,13.82,          ,381,ELLIPTICAL GALAXY
          ,CGCG 293-6   ,12 15 36.0,+61 53 00,.E?....   ,0.47,      ,15.3,                ,          ,6130,ELLIPTICAL GALAXY
Leo I     ,UGC 5470     ,10 08 27.5,+12 18 27,dE.3...   ,1.99,1.7,10.1,15.85,          ,60,ELLIPTICAL GALAXY
          ,             ,12 25 39.4,+12 18 54,.E?....   ,0.65,      ,        ,14.01,          ,                   ,ELLIPTICAL GALAXY
NGC 4478  ,UGC 7645     ,12 30 17.4,+12 19 44,.E.2...   ,1.28,0.65,12.18,13.58,          ,1329,ELLIPTICAL GALAXY
NGC 4006  ,UGC 6951     ,11 58 06.0,-02 07 15,.E...P*   ,1.22,      ,13.55,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 11-48   ,11 18 34.3,-02 06 49,.E.....   ,       ,      ,14.81,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1298  ,UGC 2683     ,03 20 12.9,-02 06 44,.E+..P*   ,1.2,      ,13.72,15.65,          ,6505,ELLIPTICAL GALAXY
NGC 7517  ,MCG 0-59-8   ,23 13 13.9,-02 06 03,.E+..?.   ,0.75,      ,15.4,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3358   ,UGC 7550     ,12 26 54.5,+11 40 06,.E?....   ,1.1,      ,14.28,                ,          ,2006,ELLIPTICAL GALAXY
NGC 6462  ,MCG 10-25-85 ,17 44 48.8,+61 54 38,.E?....   ,0.61,      ,14.9,                ,          ,11715,ELLIPTICAL GALAXY
          ,CGCG 39-133  ,11 21 12.0,+03 40 00,.E.....   ,       ,      ,14.92,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3443   ,MCG 2-32-112 ,12 31 16.3,+12 19 57,.E?....   ,0.62,      ,15.73,13.82,          ,2219,ELLIPTICAL GALAXY
          ,ESO 471-45   ,23 56 23.7,-31 21 12,.E?....   ,0.98,      ,14.15,                ,          ,8567,ELLIPTICAL GALAXY
          ,UGC 1563     ,02 04 36.5,+47 56 18,.E...*.   ,1.11,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1389     ,01 55 30.7,+47 57 17,.E.....   ,1.26,      ,14.5,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4486  ,UGC 7654     ,12 30 49.7,+12 23 24,.E+0+P.   ,1.92,1.5,9.65,13.93,          ,1229,ELLIPTICAL GALAXY
NGC 7268A ,ESO 467-57A  ,22 25 41.3,-31 12 02,.E.0.P?   ,0.97,      ,15.38,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1860   ,ESO 416-31   ,02 49 34.6,-31 11 25,.E.4...   ,1.24,0.79,12.99,14.48,          ,6872,ELLIPTICAL GALAXY
          ,UGC 1340     ,01 52 36.0,+48 05 00,.E.....   ,1,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1332     ,01 52 18.0,+48 05 15,.E.....   ,1.26,      ,14.6,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1152   ,UGC 10103    ,15 56 43.6,+48 05 45,.E.....   ,1.09,      ,14.06,                ,          ,6035,ELLIPTICAL GALAXY
IC 3672   ,UGC 7863     ,12 42 07.9,+11 45 16,.E.....   ,0.97,      ,14.5,                ,          ,198,ELLIPTICAL GALAXY
          ,CGCG 39-46   ,11 11 00.0,+03 44 00,.E...?.   ,       ,      ,15.13,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,12 29 23.6,+12 27 02,.E?....   ,0.8,      ,        ,14.27,          ,                   ,ELLIPTICAL GALAXY
IC 3349   ,CGCG 70-81   ,12 26 47.2,+12 27 06,.E?....   ,0.95,      ,14.81,14.42,          ,1508,ELLIPTICAL GALAXY
          ,MCG 2-4-22   ,01 19 24.6,+12 27 43,.E?....   ,0.9,      ,14.89,                ,          ,14514,ELLIPTICAL GALAXY
NGC 558   ,CGCG 385-143 ,01 27 16.1,-01 58 19,.E+..?/   ,0.57,      ,15.3,                ,          ,5071,ELLIPTICAL GALAXY
IC 3381   ,UGC 7589     ,12 28 15.2,+11 47 23,.E+..*.   ,1.08,      ,14.42,                ,          ,594,ELLIPTICAL GALAXY
A 1216+04 ,UGC 7354     ,12 19 09.8,+03 51 28,.E...P*   ,0.83,0.72,14.66,12.94,79,1443,ELLIPTICAL GALAXY
          ,             ,12 31 51.6,+12 28 57,.E?....   ,0.61,      ,        ,13.61,          ,                   ,ELLIPTICAL GALAXY
NGC 4486B ,MCG 2-32-101 ,12 30 32.1,+12 29 27,CE.0...   ,0.78,      ,        ,13.25,          ,1456,ELLIPTICAL GALAXY
          ,ESO 206-1    ,06 16 13.0,-51 50 26,.E+5...   ,1.1,      ,15.21,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1344  ,ESO 418-5    ,03 28 19.1,-31 04 05,.E.5...   ,1.78,0.95,11.22,14.56,          ,1061,ELLIPTICAL GALAXY
          ,UGC 4082     ,07 54 50.2,+50 02 14,.E...*.   ,1.04,      ,14.22,                ,          ,6778,ELLIPTICAL GALAXY
          ,UGC 902      ,01 21 55.9,+50 02 50,.E...*.   ,1.15,      ,14.4,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 3-41-90  ,16 05 18.0,+14 38 00,.E+....   ,1.12,      ,14.3,                ,          ,12317,ELLIPTICAL GALAXY
NGC 7649  ,UGC 12579    ,23 24 18.0,+14 38 00,.E.....   ,1.1,      ,14.98,                ,          ,12678,ELLIPTICAL GALAXY
NGC 1573  ,UGC 3077     ,04 35 02.3,+73 15 48,.E.....   ,1.28,1.04,13.14,13.8,          ,4367,ELLIPTICAL GALAXY
          ,UGC 2579     ,03 11 27.0,+35 27 29,.E...?.   ,1.08,      ,15.13,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 6071     ,10 59 59.9,+50 03 22,.E.....   ,1.15,      ,14.14,                ,          ,7198,ELLIPTICAL GALAXY
IC 464    ,CGCG 234-87  ,07 11 04.9,+50 08 11,.E?....   ,0.9,      ,14.77,                ,          ,4952,ELLIPTICAL GALAXY
NGC 2340  ,UGC 3720     ,07 11 10.7,+50 10 27,.E.....   ,1.26,1.32,13.58,13.56,          ,5992,ELLIPTICAL GALAXY
          ,UGC 4051     ,07 51 17.8,+50 10 47,.E?....   ,0.72,      ,14.6,                ,          ,6145,ELLIPTICAL GALAXY
NGC 4493  ,MCG 0-32-17  ,12 31 08.5,+00 36 48,.E+..P*   ,1.09,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3959   ,MCG 5-31-59  ,12 59 08.2,+27 47 03,.E.3...   ,0.72,      ,15.27,13.82,          ,7043,ELLIPTICAL GALAXY
          ,UGC 6250     ,11 13 06.0,+27 48 00,.E?....   ,1.08,      ,14.2,                ,          ,9407,ELLIPTICAL GALAXY
NGC 1587  ,UGC 3063     ,04 30 39.6,+00 39 43,.E...P.   ,1.23,0.89,12.98,13.7,498,3641,ELLIPTICAL GALAXY
IC 1317   ,UGC 11546    ,20 23 15.4,+00 39 48,.E+..?.   ,0.85,      ,14.38,13.69,          ,4098,ELLIPTICAL GALAXY
NGC 1588  ,UGC 3064     ,04 30 43.8,+00 39 55,.E...P?   ,1.14,0.63,13.81,13.95,          ,3397,ELLIPTICAL GALAXY
          ,CGCG 13-95   ,12 10 32.8,+00 40 37,.E+..*.   ,       ,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2523C ,UGC 4290     ,08 17 43.1,+73 19 09,.E...?.   ,1.18,      ,13.93,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,18 50 26.5,+73 20 42,.E?....   ,       ,      ,        ,                ,          ,12325,ELLIPTICAL GALAXY
NGC 3343  ,UGC 5863     ,10 46 00.0,+73 21 00,.E.....   ,1.11,      ,14.4,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 341-10  ,18 50 18.4,+73 21 03,.E?....   ,0.13,      ,15.6,                ,          ,11358,ELLIPTICAL GALAXY
A 1717+73 ,UGC 10803    ,17 16 05.0,+73 26 13,.E?....   ,1.12,      ,13.1,                ,254,1445,ELLIPTICAL GALAXY
NGC 6263  ,UGC 10618    ,16 56 42.0,+27 49 00,.E.....   ,0.94,      ,14.66,                ,          ,10040,ELLIPTICAL GALAXY
          ,UGC 3396     ,06 10 06.0,+79 55 00,.E.....   ,       ,      ,15.1,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3197     ,04 59 42.0,+80 09 00,.E...?.   ,1.12,      ,15,                ,          ,16196,ELLIPTICAL GALAXY
          ,UGC 4041     ,07 52 38.9,+73 30 09,.E?....   ,0.95,      ,13.9,                ,          ,3571,ELLIPTICAL GALAXY
A 1248+28 ,MCG 5-30-101 ,12 50 54.0,+27 50 30,.E.0...   ,0.5,      ,15.8,                ,          ,7464,ELLIPTICAL GALAXY
IC 3976   ,CGCG 160-226 ,12 59 29.5,+27 51 00,.E.6...   ,       ,0.11,15.4,                ,          ,6863,ELLIPTICAL GALAXY
NGC 6269  ,UGC 10629    ,16 57 58.5,+27 51 19,.E.....   ,1.3,1.06,13.5,14.57,          ,10564,ELLIPTICAL GALAXY
IC 1700   ,UGC 986      ,01 25 24.8,+14 51 48,.E.....   ,1.16,      ,13.78,                ,          ,6458,ELLIPTICAL GALAXY
A 1255+28 ,MCG 5-31-32  ,12 57 48.0,+27 52 00,.E.3.$.   ,0.72,      ,        ,                ,          ,6954,ELLIPTICAL GALAXY
NGC 855   ,UGC 1718     ,02 14 03.7,+27 52 38,.E.....   ,1.42,0.82,12.85,14.3,          ,672,ELLIPTICAL GALAXY
          ,UGC 12091    ,22 34 24.3,+50 26 37,.E...*.   ,1.08,      ,15.16,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1916     ,02 27 42.0,+50 29 00,.E.....   ,1.04,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3549     ,06 55 00.3,+80 58 00,.E.....   ,0.78,      ,14.49,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2636  ,UGC 4583     ,08 48 24.6,+73 40 12,.E.0.*.   ,0.8,      ,14.47,13.64,          ,2017,ELLIPTICAL GALAXY
          ,UGC 7767     ,12 35 32.7,+73 40 31,.E.....   ,0.95,      ,13.6,                ,          ,1422,ELLIPTICAL GALAXY
A 0206+35 ,UGC 1651     ,02 09 38.3,+35 47 45,.E...?.   ,1.36,      ,14.1,15.95,          ,11298,ELLIPTICAL GALAXY
NGC 2320  ,UGC 3659     ,07 05 41.5,+50 34 49,.E.....   ,1.15,1.09,13.76,13.05,          ,5770,ELLIPTICAL GALAXY
IC 1143   ,UGC 9932     ,15 30 42.0,+82 28 00,.E.....   ,1.18,      ,14.24,                ,          ,6569,ELLIPTICAL GALAXY
NGC 2954  ,UGC 5155     ,09 40 24.7,+14 55 20,.E.....   ,1.23,0.73,13.37,13.98,          ,3718,ELLIPTICAL GALAXY
NGC 219   ,MCG 0-2-128  ,00 42 11.3,+00 54 14,CE...?.   ,0.73,      ,15.32,                ,          ,5580,ELLIPTICAL GALAXY
NGC 6251  ,UGC 10501    ,16 32 33.6,+82 32 17,.E.....   ,1.26,      ,13.64,                ,          ,7079,ELLIPTICAL GALAXY
          ,UGC 5477     ,10 09 12.7,+15 00 19,.E.....   ,1.21,      ,13.69,                ,          ,9114,ELLIPTICAL GALAXY
NGC 2634  ,UGC 4581     ,08 48 25.1,+73 58 03,.E.1.*.   ,1.23,0.92,12.59,14.02,          ,2390,ELLIPTICAL GALAXY
NGC 4869  ,MCG 5-31-65  ,12 59 23.3,+27 54 39,.E.3...   ,0.87,0.45,14.74,14.1,          ,6802,ELLIPTICAL GALAXY
NGC 4876  ,MCG 5-31-73  ,12 59 44.5,+27 54 45,.E.5...   ,0.74,0.25,15.26,13.88,          ,6713,ELLIPTICAL GALAXY
NGC 4906  ,CGCG 160-253 ,13 00 39.8,+27 55 25,.E.3...   ,       ,0.41,        ,                ,          ,7485,ELLIPTICAL GALAXY
NGC 2768  ,UGC 4821     ,09 11 37.7,+60 02 22,.E.6.*.   ,1.91,1.33,10.97,14.68,          ,1406,ELLIPTICAL GALAXY
          ,UGC 4956     ,09 20 02.1,+01 02 17,.E...*.   ,1.28,0.97,13.41,14.45,          ,4974,ELLIPTICAL GALAXY
          ,             ,12 26 55.4,+13 34 00,.E?....   ,0.71,      ,        ,13.8,          ,                   ,ELLIPTICAL GALAXY
IC 3344   ,MCG 2-32-50  ,12 26 33.2,+13 34 48,.E?....   ,0.86,      ,15.3,14.27,          ,1324,ELLIPTICAL GALAXY
          ,UGC 5955     ,10 52 05.6,+71 46 29,.E.....   ,1.08,      ,14.12,                ,          ,1302,ELLIPTICAL GALAXY
A 0846+72 ,MCG 12-9-23  ,08 51 57.3,+71 48 48,.E?....   ,0.8,      ,        ,                ,          ,3504,ELLIPTICAL GALAXY
NGC 2810  ,UGC 4954     ,09 22 04.5,+71 50 42,.E.....   ,1.23,0.81,13.18,14.38,          ,3677,ELLIPTICAL GALAXY
NGC 6508  ,UGC 11023    ,17 49 47.6,+72 01 22,.E...*.   ,1.11,      ,13.78,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,12 29 37.4,+07 56 02,.E?....   ,0.31,      ,        ,12.66,          ,                   ,ELLIPTICAL GALAXY
NGC 5322  ,UGC 8745     ,13 49 15.6,+60 11 29,.E.3+..   ,1.77,1.05,10.99,14.51,          ,2043,ELLIPTICAL GALAXY
IC 1154   ,UGC 10088    ,15 52 30.0,+70 23 00,.E.....   ,1.26,      ,14.3,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3168  ,UGC 5536     ,10 16 24.0,+60 14 00,.E.....   ,1,      ,14.4,                ,          ,9472,ELLIPTICAL GALAXY
          ,UGC 5542     ,10 16 54.0,+60 17 00,.E...*.   ,1,      ,14.59,                ,          ,9307,ELLIPTICAL GALAXY
NGC 6048  ,UGC 10124    ,15 57 31.1,+70 41 25,.E.....   ,1.34,      ,13.26,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3735   ,MCG 2-33-10  ,12 45 20.5,+13 41 37,.E?....   ,0.95,      ,14.84,                ,          ,1854,ELLIPTICAL GALAXY
NGC 4467  ,MCG 1-32-80  ,12 29 30.4,+07 59 39,.E.2...   ,1.07,0.55,14.34,14.88,          ,1406,ELLIPTICAL GALAXY
NGC 4472  ,UGC 7629     ,12 29 46.5,+07 59 58,.E.2...   ,2.01,1.54,9.3,14.2,430,846,ELLIPTICAL GALAXY
NGC 2496  ,UGC 4127     ,07 58 36.0,+08 01 00,.E.....   ,1.15,      ,13.95,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 552-20   ,04 54 51.8,-18 06 50,.E+....   ,1.37,      ,13.32,                ,          ,9288,ELLIPTICAL GALAXY
          ,ESO 570-4    ,11 07 08.8,-18 01 26,.E+4.P.   ,1.14,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3136  ,ESO 92-8     ,10 05 48.2,-67 22 39,.E...*.   ,1.49,1.09,11.89,13.73,          ,1497,ELLIPTICAL GALAXY
IC 225    ,UGC 1907     ,02 26 28.4,+01 09 39,.E.....   ,0.83,      ,14.52,                ,          ,1541,ELLIPTICAL GALAXY
          ,CGCG 10-55   ,10 59 18.0,+01 10 00,CE.....   ,       ,      ,15.16,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 12-11-28B,11 32 05.5,+70 48 24,.E...P*   ,       ,      ,        ,                ,          ,15603,ELLIPTICAL GALAXY
          ,UGC 3067     ,04 31 01.2,+08 05 09,.E...?.   ,1.04,      ,14.68,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 107-4    ,21 03 29.0,-67 10 49,.E.1.*.   ,1.21,0.82,12.97,13.72,          ,3030,ELLIPTICAL GALAXY
NGC 3136B ,ESO 92-13    ,10 10 13.3,-67 00 18,.E+....   ,1.18,1.18,13.3,13.01,          ,1564,ELLIPTICAL GALAXY
NGC 3348  ,UGC 5875     ,10 47 10.0,+72 50 27,.E.0...   ,1.31,0.94,11.98,13.68,          ,2960,ELLIPTICAL GALAXY
NGC 3562  ,UGC 6242     ,11 12 59.3,+72 52 44,.E.....   ,       ,0.88,13.2,                ,          ,6875,ELLIPTICAL GALAXY
NGC 6258  ,UGC 10595    ,16 52 30.1,+60 30 52,.E.....   ,0.95,      ,14.41,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 10-16-28 ,10 56 12.0,+60 40 00,.E?....   ,       ,      ,15.71,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1246  ,ESO 82-9     ,03 07 01.1,-66 56 14,.E.5.*.   ,1.12,      ,13.85,                ,          ,5149,ELLIPTICAL GALAXY
          ,ESO 88-18    ,07 29 06.1,-66 54 44,.E.5.P.   ,0.84,      ,14.86,                ,          ,4931,ELLIPTICAL GALAXY
IC 449    ,UGC 3515     ,06 45 42.4,+71 20 37,.E...*.   ,1.23,      ,13.48,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3872  ,UGC 6738     ,11 45 49.0,+13 45 58,.E.5...   ,1.27,0.78,12.59,13.57,          ,3116,ELLIPTICAL GALAXY
NGC 4434  ,UGC 7571     ,12 27 36.9,+08 09 18,.E.....   ,1.15,0.71,13,13.72,          ,1004,ELLIPTICAL GALAXY
